"id", "threadRef", "airportRef", "airportIdent", "date", "memberNickname", "subject", "body"
610280,83363,11711,"4TA0","2026-08-13 20:17:05","shumphries","Prairie Aire","This is now called Prairie Aire Field."
610277,83362,610276,"AR-0808","2026-08-13 17:38:11","Pugliapilot","Aeroclub Tupungato","airfield"
610273,82761,323266,"RKTA","2026-08-13 12:04:16","KoreaElliotz125","re: (no subject)","Reply to @F0RD: True"
610244,83361,610229,"TR-0331","2026-08-11 21:12:38","dnizberk123","(no subject)","Seasonal grass runway visible on latest sattalite imagery. Probably used by agricultural aircraft. No idea who this Airfield belongs to."
610243,83359,46169,"AYRK","2026-08-11 19:25:41","labubuairportenthusiastTWO","re: Kairuku Airport (RKU, AYRK, KKU)","Reply to @Pugliapilot: 
could be closed"
610242,83352,8280,"1FD4","2026-08-11 19:22:12","labubuairportenthusiastTWO","re: ok man","Reply to @ReefShore316: 
oh hey man remember me"
610240,83360,41204,"FADE","2026-08-11 18:34:08","milegrin","No longer exists?","According to Satellite and everything I can find the FADE Delmas Airport no longer exists and is now residential area"
610220,83352,8280,"1FD4","2026-08-11 15:50:53","ReefShore316","re: ok man","Reply to @labubuairportenthusiastTWO: I would think so."
610213,83359,46169,"AYRK","2026-08-11 06:41:51","Pugliapilot","Kairuku Airport (RKU, AYRK, KKU)","This airport isn't visible on Google Maps. Is there a pilot who can confirm its existence? Or is it an airport that should be deleted?"
610192,82532,523457,"SA-0087","2026-08-10 05:36:37","Bollardant2","re: History","Reply to @Bollardant2: The Final Update
The two asphalt runways were established in 1952, parallel runway was added in 1964, and final runway was added sometime in 1979.  The crosswind runway presumably closed following the 1964 expansion, and the 1979 runway replaced the one closer to the apron. Perhaps light aircraft still utilised the remaining eastern end of the crosswind runway before it was demolished, hence Stroud’s reporting of the airport in 1980."
610158,83358,43205,"EYND","2026-08-08 06:36:29","expl","Excellent place for a visit","A gem of Lithuania. 20 EUR per landing. Fenced perimeter with 24x7 staff. 
No fuel services. OK for eclipse 500."
610157,8193,30020,"EYKD","2026-08-08 06:30:31","expl","re: Homebuilt/experimental aircraft center","Reply to @expl: 2026 update: airport closed, any flights are reported to CAA by local a-holes (they are renting and using to store some crap)."
610142,83357,610141,"ID-0410","2026-08-06 01:46:03","Agus","Byan Airport","Could you please add this private airport"
610126,83346,4315,"LIBR","2026-08-04 20:12:41","Pugliapilot","re: First comment","Reply to @I_Am_So_HandsomBefore the First World War, Brindisi only had a seaplane base. The first land runway for the airport was built in 1933.e:"
