"id","filename","ident","name","type","frequency_khz","latitude_deg","longitude_deg","elevation_ft","iso_country","dme_frequency_khz","dme_channel","dme_latitude_deg","dme_longitude_deg","dme_elevation_ft","slaved_variation_deg","magnetic_variation_deg","usageType","power","associated_airport"
85050,"Williams_Harbour_NDB_CA","1A","Williams Harbour","NDB",373,52.55889892578125,-55.78219985961914,70,"CA",,,,,,,-23.072,"LO","MEDIUM","CCA6"
85051,"Sable_Island_NDB_CA","1B","Sable Island","NDB",277,43.930599212646484,-60.02289962768555,,"CA",,,,,,,-19.1,"LO","MEDIUM",
85052,"Nanaimo_DME_CA","1CD","Nanaimo","DME",111450,49.05720138549805,-123.87200164794922,83,"CA",111450,"051Y",,,,,18.282,"LO","LOW","CYCD"
85053,"Charlottetown_NDB_CA","1D","Charlottetown","NDB",346,52.775001525878906,-56.124000549316406,209,"CA",,,,,,,-23.163,"LO","LOW","CCH4"
85054,"Black_Tickle_NDB_CA","1E","Black Tickle","NDB",349,53.46670150756836,-55.78739929199219,,"CA",,,,,,,-23.398,"LO","LOW","CCE4"
85055,"Manta_NDB_CA","1F","Manta","NDB",363,47.63059997558594,-65.74469757080078,193,"CA",,,,,,,-19.367,"LO","MEDIUM","CZBF"
85056,"Zama_Lake_NDB_CA","1K","Zama Lake","NDB",227,59.02330017089844,-118.84300231933594,,"CA",,,,,,,21.275,"LO","MEDIUM","CFT9"
85057,"North_Of_Sixty_NDB_CA","1S","North Of Sixty","NDB",350,60.31890106201172,-103.12899780273438,,"CA",,,,,,,9.589,"LO","LOW","CKV4"
85058,"Lloydminster_DME_CA","1T","Lloydminster","DME",110700,53.31330108642578,-110.08000183105469,2210,"CA",110700,"044X",,,,,14.486,"BOTH","LOW","CYLL"
85059,"Masset_NDB_CA","1U","Masset","NDB",278,54.031700134277344,-132.1269989013672,25,"CA",,,,,,,21.073,"LO","MEDIUM","CZMT"
85060,"Sandy_Bay_NDB_CA","1W","Sandy Bay","NDB",412,55.54330062866211,-102.2760009765625,1000,"CA",,,,,,,8.555,"LO","MEDIUM","CJY4"
85061,"South_Indian_Lake_NDB_CA","2A","South Indian Lake","NDB",300,56.79389953613281,-98.904296875,974,"CA",,,,,,,5.097,"LO","LOW","CZSN"
85062,"Springdale_NDB_CA","2B","Springdale","NDB",364,49.4900016784668,-56.18470001220703,250,"CA",,,,,,,-21.312,"LO","MEDIUM","CCD2"
85063,"Bathurst_DME_CA","2F","Bathurst","DME",114400,47.63140106201172,-65.74440002441406,191,"CA",114400,"091X",,,,,-19.367,"BOTH","LOW","CZBF"
85064,"Lebel-sur-Quevillon_NDB_CA","2H","Lebel-sur-Quevillon","NDB",261,49.0372009277,-77.0207977295,,"CA",,,,,,,-14.363,"BOTH","LOW","CSH4"
85065,"Grand_Forks_NDB-DME_CA","2J","Grand Forks","NDB-DME",250,49.01750183105469,-118.42400360107422,1720,"CA",109700,"034X",,,,,17.114,"LO","LOW","CZGF"
85066,"Camrose_NDB_CA","2K","Camrose","NDB",405,53.03219985961914,-112.81300354003906,2426,"CA",,,,,,,16.163,"LO","MEDIUM","CEQ3"
85067,"Camrose_DME_CA","2K","Camrose","DME",108200,53.032798767089844,-112.81400299072266,2449,"CA",108200,"019X",,,,,16.163,"LO","LOW","CEQ3"
85068,"Opapimiskan_Lake_NDB_CA","2M","Opapimiskan Lake","NDB",393,52.60309982299805,-90.37439727783203,934,"CA",,,,,,,-3.318,"LO","MEDIUM","CKM8"
85069,"Mont-Laurier_NDB_CA","2Q","Mont-Laurier","NDB",373,46.602500915527344,-75.47059631347656,,"CA",,,,,,,-14.31,"LO","LOW","CSD4"
85070,"High_Prairie_NDB-DME_CA","2S","High Prairie","NDB-DME",406,55.395599365234375,-116.48400115966797,2005,"CA",110200,"039X",55.3958,-116.482,2005,,18.511,"BOTH","LOW","CZHP"
85071,"Pokemouche_NDB_CA","2T","Pokemouche","NDB",329,47.71500015258789,-64.88580322265625,68,"CA",,,,,,,-19.527,"LO","MEDIUM","CDA4"
85072,"Mackenzie_Bc_NDB-DME_CA","2U","Mackenzie Bc","NDB-DME",284,55.3036003112793,-123.13700103759766,2303,"CA",108900,"026X",,,,,20.519,"LO","LOW","CYZY"
85073,"Diavik_NDB_CA","2Z","Diavik","NDB",382,64.51000213623047,-110.30699920654297,,"CA",,,,,,,18.473,"LO","LOW","CDK2"
85074,"Diavik_DME_CA","2Z","Diavik","DME",111250,64.50830078125,-110.30699920654297,1413,"CA",111250,"049Y",,,,,18.471,"LO","LOW","CDK2"
85076,"Cumberland_House_NDB_CA","3D","Cumberland House","NDB",398,53.95719909667969,-102.2969970703125,877,"CA",,,,,,,8.534,"LO","MEDIUM","CJT4"
85077,"Ile-A-La-Crosse_NDB_CA","3F","Ile-A-La-Crosse","NDB",384,55.4838981628418,-107.93099975585938,1394,"CA",,,,,,,13.529,"LO","MEDIUM","CJF3"
85078,"Consort_NDB_CA","3H","Consort","NDB",276,52.02280044555664,-110.74600219726562,2499,"CA",,,,,,,14.515,"LO","MEDIUM","CFG3"
85079,"Mobil_Sierra_NDB_CA","3I","Mobil Sierra","NDB",397,58.798301696777344,-121.34500122070312,,"CA",,,,,,,22.088,"LO","MEDIUM",
85080,"Drayton_Valley_Industrial_NDB-DME_CA","3M","Drayton Valley Industrial","NDB-DME",385,53.26639938354492,-114.95500183105469,2785,"CA",110600,"043X",53.2681,-114.957,2785,,17.225,"LO","LOW","CER3"
85081,"Weyburn_NDB_CA","3N","Weyburn","NDB",298,49.6963996887207,-103.80400085449219,1963,"CA",,,,,,,9.496,"LO","MEDIUM","CJE3"
85082,"Muddy_Lake_NDB_CA","3P","Muddy Lake","NDB",242,58.236900329589844,-132.1959991455078,,"CA",,,,,,,23.014,"LO","MEDIUM",
85083,"Postville_NDB_CA","3R","Postville","NDB",366,54.907501220703125,-59.79690170288086,193,"CA",,,,,,,-24.449,"LO","MEDIUM","CCD4"
85085,"Cluff_Lake_NDB_CA","3X","Cluff Lake","NDB",243,58.36029815673828,-109.5250015258789,,"CA",,,,,,,15.534,"LO","MEDIUM","CJS3"
85086,"Donnelly_NDB-DME_CA","3Y","Donnelly","NDB-DME",234,55.710601806640625,-117.0999984741211,1949,"CA",108200,"019X",,,,,19.141,"LO","LOW","CFM4"
85087,"Russell_NDB_CA","3Z","Russell","NDB",263,50.764198303222656,-101.2959976196289,1825,"CA",,,,,,,7.542,"LO","LOW","CJW5"
85088,"Taber_NDB-DME_CA","3Z","Taber","NDB-DME",388,49.825801849365234,-112.1780014038086,2648,"CA",111000,"047X",,,,,15.013,"LO","LOW","CED5"
85089,"Koala_NDB-DME_CA","4A","Koala","NDB-DME",350,64.6980972290039,-110.60900115966797,1540,"CA",111800,"055X",,,,,19.093,"TERMINAL","MEDIUM","CYOA"
85090,"Little_Grand_Rapids_NDB_CA","4B","Little Grand Rapids","NDB",280,52.0442008972168,-95.46189880371094,1005,"CA",,,,,,,2.118,"LO","MEDIUM","CZGR"
85091,"Helmet_NDB_CA","4D","Helmet","NDB",364,59.4213981628418,-120.78900146484375,2025,"CA",,,,,,,22.188,"LO","MEDIUM","CBH2"
85092,"Cross_Lake_NDB_CA","4G","Cross Lake","NDB",353,54.610801696777344,-97.76640319824219,709,"CA",,,,,,,4.14,"LO","MEDIUM","CYCR"
85093,"Points_North_Landing_NDB_CA","4H","Points North Landing","NDB",368,58.26919937133789,-104.08000183105469,1620,"CA",,,,,,,10.553,"LO","MEDIUM","CYNL"
85094,"Knee_Lake_NDB_CA","4J","Knee Lake","NDB",314,54.88330078125,-94.80000305175781,,"CA",,,,,,,0.468,"LO","LOW","CJT3"
85095,"St_Theresa_Point_NDB_CA","4K","St Theresa Point","NDB",362,53.845001220703125,-94.84940338134766,773,"CA",,,,,,,1.074,"LO","LOW","CYST"
