"id","code","local_code","name","continent","iso_country","wikipedia_link","keywords"
302811,"AD-02",02,"Canillo Parish","EU","AD","https://en.wikipedia.org/wiki/Canillo","Airports in Canillo Parish"
302812,"AD-03",03,"Encamp Parish","EU","AD","https://en.wikipedia.org/wiki/Encamp","Airports in Encamp Parish"
302813,"AD-04",04,"La Massana Parish","EU","AD","https://en.wikipedia.org/wiki/La_Massana","Airports in La Massana Parish"
302814,"AD-05",05,"Ordino Parish","EU","AD","https://en.wikipedia.org/wiki/Ordino","Airports in Ordino Parish"
302815,"AD-06",06,"Sant Julià de Lòria Parish","EU","AD","https://en.wikipedia.org/wiki/Sant_Julià_de_Lòria","Airports in Sant Julià de Lòria Parish"
302816,"AD-07",07,"Andorra la Vella Parish","EU","AD","https://en.wikipedia.org/wiki/Andorra_la_Vella","Airports in Andorra la Vella Parish"
302817,"AD-08",08,"Escaldes-Engordany Parish","EU","AD","https://en.wikipedia.org/wiki/Escaldes-Engordany","Airports in Escaldes-Engordany Parish"
302818,"AD-U-A","U-A","(unassigned)","EU","AD",,"Airports in (unassigned)"
302819,"AE-AJ","AJ","Ajman Emirate","AS","AE","https://en.wikipedia.org/wiki/Ajman","'Ajmān"
302820,"AE-AZ","AZ","Abu Dhabi Emirate","AS","AE","https://en.wikipedia.org/wiki/Abu_Dhabi_(emirate)","Abu Ẓaby"
302821,"AE-DU","DU","Dubai Emirate","AS","AE","https://en.wikipedia.org/wiki/Dubai","Dubayy"
302822,"AE-FU","FU","Fujairah Emirate","AS","AE","https://en.wikipedia.org/wiki/Fujairah","Al Fujayrah"
302823,"AE-RK","RK","Ras al-Khaimah Emirate","AS","AE","https://en.wikipedia.org/wiki/Ras_al-Khaimah","Ra's al Khaymah"
302824,"AE-SH","SH","Sharjah Emirate","AS","AE","https://en.wikipedia.org/wiki/Sharjah_(emirate)","Ash Shāriqah"
302825,"AE-U-A","U-A","(unassigned)","AS","AE",,"Airports in (unassigned)"
302826,"AE-UQ","UQ","Umm al-Quwain Emirate","AS","AE","https://en.wikipedia.org/wiki/Umm_al-Quwain","Airports in Umm al-Quwain Emirate"
302827,"AF-BAL","BAL","Balkh Province","AS","AF","https://en.wikipedia.org/wiki/Balkh_Province","Airports in Balkh Province"
302828,"AF-BAM","BAM","Bamiyan Province","AS","AF","https://en.wikipedia.org/wiki/Bamyian_Province","Airports in Bamiyan Province"
302829,"AF-BDG","BDG","Badghis Province","AS","AF","https://en.wikipedia.org/wiki/Badghis_Province","Airports in Badghis Province"
302830,"AF-BDS","BDS","Badakhshan Province","AS","AF","https://en.wikipedia.org/wiki/Badakhshan_Province","Airports in Badakhshan Province"
302831,"AF-BGL","BGL","Baghlan Province","AS","AF","https://en.wikipedia.org/wiki/Baghlan_Province","Airports in Baghlan Province"
306897,"AF-DAY","DAY","Daykundi Province","AS","AF","https://en.wikipedia.org/wiki/Daykundi_Province","Airports in Daykundi Province"
302832,"AF-FRA","FRA","Farah Province","AS","AF","https://en.wikipedia.org/wiki/Farah_Province","Airports in Farah Province"
302833,"AF-FYB","FYB","Faryab Province","AS","AF","https://en.wikipedia.org/wiki/Faryab_Province","Airports in Faryab Province"
302834,"AF-GHA","GHA","Ghazni Province","AS","AF","https://en.wikipedia.org/wiki/Ghazni_Province","Airports in Ghazni Province"
302835,"AF-GHO","GHO","Ghōr Province","AS","AF","https://en.wikipedia.org/wiki/Gh%C5%8Dr_Province","airports"
302836,"AF-HEL","HEL","Helmand Province","AS","AF","https://en.wikipedia.org/wiki/Helmand_Province","Airports in Helmand Province"
302837,"AF-HER","HER","Herat Province","AS","AF","https://en.wikipedia.org/wiki/Herat_Province","Airports in Herat Province"
302838,"AF-JOW","JOW","Jowzjan Province","AS","AF","https://en.wikipedia.org/wiki/Jowzjan_Province","Airports in Jowzjan Province"
302839,"AF-KAB","KAB","Kabul Province","AS","AF","https://en.wikipedia.org/wiki/Kabul_Province","Airports in Kabul Province"
302840,"AF-KAN","KAN","Kandahar Province","AS","AF","https://en.wikipedia.org/wiki/Kandahar_Province","Airports in Kandahar Province"
302841,"AF-KAP","KAP","Kapisa Province","AS","AF","https://en.wikipedia.org/wiki/Kapisa_Province","Airports in Kapisa Province"
302842,"AF-KDZ","KDZ","Kunduz Province","AS","AF","https://en.wikipedia.org/wiki/Kunduz_Province","Airports in Kunduz Province"
302843,"AF-KHO","KHO","Khost Province","AS","AF","https://en.wikipedia.org/wiki/Khost_Province","Airports in Khost Province"
302844,"AF-KNR","KNR","Kunar Province","AS","AF","https://en.wikipedia.org/wiki/Kunar_Province",
302845,"AF-LAG","LAG","Laghman Province","AS","AF","https://en.wikipedia.org/wiki/Laghman_Province","Airports in Laghman Province"
302846,"AF-LOW","LOW","Logar Province","AS","AF","https://en.wikipedia.org/wiki/Logar_Province","Airports in Logar Province"
302847,"AF-NAN","NAN","Nangarhar Province","AS","AF","https://en.wikipedia.org/wiki/Nangarhar_Province","Airports in Nangarhar Province"
302848,"AF-NIM","NIM","Nimruz Province","AS","AF","https://en.wikipedia.org/wiki/Nimruz_Province","Airports in Nimruz Province"
302849,"AF-NUR","NUR","Nurestan Province","AS","AF","https://en.wikipedia.org/wiki/Nurestan_Province","Airports in Nurestan Province"
306898,"AF-PAN","PAN","Panjshir Province","AS","AF","https://en.wikipedia.org/wiki/Panjshir_Province","airports"
302851,"AF-PAR","PAR","Parwan Province","AS","AF","https://en.wikipedia.org/wiki/Parwan_Province","Airports in Parwan Province"
302852,"AF-PIA","PIA","Paktia Province","AS","AF","https://en.wikipedia.org/wiki/Paktia_Province","Airports in Paktia Province"
302853,"AF-PKA","PKA","Paktika Province","AS","AF","https://en.wikipedia.org/wiki/Paktika_Province","Airports in Paktika Province"
302854,"AF-SAM","SAM","Samangan Province","AS","AF","https://en.wikipedia.org/wiki/Samangan_Province","Airports in Samangan Province"
302855,"AF-SAR","SAR","Sar-e Pol Province","AS","AF","https://en.wikipedia.org/wiki/Sar-e_Pol_Province","Airports in Sar-e Pol Province"
302856,"AF-TAK","TAK","Takhar Province","AS","AF","https://en.wikipedia.org/wiki/Takhar_Province","Airports in Takhar Province"
302857,"AF-U-A","U-A","(unassigned)","AS","AF",,"Airports in (unassigned)"
